"","length","max_sp_length","length_index","hg_liv","hg_mus","se_liv","se_mus","species","genus","family","subord","format","sample","number","tissue","lat","long","trophic","X","author","source_doi","habit","hg_sea"
"81","204","256","0.796875","407","407","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 2001","10.1080/02772240109359009","n",6.06072499746681e-10
"82","210","256","0.8203125","1298.2","1298.2","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 2001","10.1080/02772240109359009","n",6.06072499746681e-10
"83","136","256","0.53125","12.6","12.6","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 2001","10.1080/02772240109359009","n",6.06072499746681e-10
"84","217","256","0.84765625","430.1","430.1","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 2001","10.1080/02772240109359009","n",6.06072499746681e-10
"85","210","256","0.8203125","51.2","51.2","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 2001","10.1080/02772240109359009","n",6.06072499746681e-10
"86","200","256","0.78125","63.7","63.7","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Augier et al 2001","10.1080/02772240109359009","n",6.06072499746681e-10
"87","92","330","0.2787878788","0.6","ND","0.75","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"88","99","330","0.3","0.5","ND","0.18","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"89","113","330","0.3424242424","0.9","ND","0.78","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"90","164","330","0.496969697","10.9","ND","4.6","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
